Date,Open,High,Low,Close,Adj Close,Volume
2023-07-31,627.000000,641.400024,627.000000,639.950012,639.950012,1469797
2023-08-01,644.000000,650.700012,640.000000,647.250000,647.250000,1987633
2023-08-02,648.000000,659.750000,634.000000,641.250000,641.250000,2568000
2023-08-03,641.299988,648.950012,641.000000,644.549988,644.549988,1008085
2023-08-04,646.150024,665.000000,646.150024,658.500000,658.500000,2593055
2023-08-07,659.099976,664.900024,653.049988,655.549988,655.549988,1110788
2023-08-08,655.950012,659.150024,640.549988,643.650024,643.650024,1157301
2023-08-09,645.299988,647.000000,641.000000,643.950012,643.950012,672748
2023-08-10,645.500000,649.000000,639.700012,641.700012,641.700012,634420
2023-08-11,666.000000,679.000000,655.099976,659.849976,659.849976,5254644
2023-08-14,660.000000,661.349976,648.049988,655.799988,655.799988,1215416
2023-08-16,654.500000,654.500000,648.349976,649.250000,649.250000,701542
2023-08-17,650.450012,662.000000,650.000000,659.650024,659.650024,1191732
2023-08-18,659.400024,661.000000,650.000000,650.799988,650.799988,752476
2023-08-21,651.099976,655.849976,650.500000,652.150024,652.150024,566994
2023-08-22,653.799988,667.049988,652.150024,663.900024,663.900024,1786271
2023-08-23,665.700012,667.900024,658.000000,658.650024,658.650024,813337
2023-08-24,660.650024,666.150024,654.000000,655.500000,655.500000,606670
2023-08-25,654.000000,657.799988,645.000000,648.349976,648.349976,698906
2023-08-28,649.750000,657.450012,649.150024,655.200012,655.200012,731456
2023-08-29,655.200012,660.500000,650.500000,651.900024,651.900024,489634
2023-08-30,654.000000,655.849976,650.250000,651.049988,651.049988,574588
2023-08-31,651.349976,655.450012,643.049988,645.299988,645.299988,710410
2023-09-01,645.299988,649.400024,645.049988,645.750000,645.750000,793487
2023-09-04,647.000000,664.000000,647.000000,658.599976,658.599976,2492988
2023-09-05,660.000000,669.049988,659.099976,660.000000,660.000000,1878186
2023-09-06,661.849976,691.000000,661.150024,678.000000,678.000000,5680338
2023-09-07,680.200012,686.799988,674.599976,676.099976,676.099976,1684464
2023-09-08,684.000000,684.799988,673.200012,674.150024,674.150024,1578942
2023-09-11,677.650024,684.900024,675.950012,679.049988,679.049988,1592447
2023-09-12,683.400024,683.400024,658.450012,659.650024,659.650024,1594449
2023-09-13,660.049988,666.950012,654.549988,659.299988,659.299988,890096
2023-09-14,662.950012,666.000000,659.400024,660.799988,660.799988,847932
2023-09-15,662.549988,671.299988,658.599976,667.500000,667.500000,1743786
2023-09-18,667.500000,671.799988,661.700012,663.700012,663.700012,732801
2023-09-20,660.000000,665.849976,653.099976,655.650024,655.650024,1074642
2023-09-21,655.450012,659.549988,654.000000,654.549988,654.549988,652802
2023-09-22,655.950012,659.799988,649.000000,651.299988,651.299988,695541
2023-09-25,650.000000,653.000000,645.500000,646.650024,646.650024,651991
2023-09-26,647.849976,649.849976,644.000000,644.950012,644.950012,414742
2023-09-27,645.000000,649.849976,644.000000,644.950012,644.950012,531459
2023-09-28,646.000000,652.000000,643.049988,650.299988,650.299988,923774
2023-09-29,650.299988,652.849976,646.849976,649.750000,649.750000,873339
2023-10-03,648.099976,649.549988,644.500000,645.349976,645.349976,470219
2023-10-04,643.000000,644.000000,634.049988,637.450012,637.450012,694550
2023-10-05,639.099976,642.000000,636.500000,637.750000,637.750000,396155
2023-10-06,638.049988,646.000000,638.049988,644.349976,644.349976,626615
2023-10-09,639.200012,639.250000,630.099976,635.299988,635.299988,718556
2023-10-10,635.349976,640.950012,634.700012,635.500000,635.500000,481417
2023-10-11,638.099976,642.000000,636.599976,637.349976,637.349976,653919
2023-10-12,638.000000,644.200012,636.200012,637.299988,637.299988,1325826
2023-10-13,636.000000,639.000000,634.000000,634.650024,634.650024,615655
2023-10-16,634.650024,640.700012,634.650024,637.150024,637.150024,1139234
2023-10-17,639.349976,651.849976,639.250000,649.200012,649.200012,1103994
2023-10-18,649.200012,651.000000,634.500000,636.599976,636.599976,875559
